ENSEMBL,gene_symbol,gene_name,baseMean,log2FoldChange,foldChange,lfcSE,stat,pvalue,padj
ENSG00000000003.15,TSPAN6,tetraspanin 6,2889.2913185591588,0.02598072410880245,1.0181715958528728,0.15305805377150455,0.16974424715727954,0.8652112747818459,1
ENSG00000000005.6,TNMD,tenomodulin,4.768157387451489,1.410221325531277,2.657779329950491,1.5095425562759877,NA,NA,NA
ENSG00000000419.13,DPM1,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic",465.83601869084134,-0.2356174860562936,0.8493214043670705,0.16758156928328508,-1.4059868699403244,0.15972802370919048,0.8120159899039182
ENSG00000000457.14,SCYL3,SCY1 like pseudokinase 3,462.9791841760964,-0.14337128126332874,0.9054009457807325,0.16060301158604723,-0.8927060572990181,0.37201460570790723,0.9926741504770951
ENSG00000000460.17,C1orf112,chromosome 1 open reading frame 112,81.73549575589674,-0.4803795055718706,0.7167890455414682,0.4828437949403292,-0.9948963010516411,0.31978670209128296,0.9646271813671171
ENSG00000000938.13,FGR,"FGR proto-oncogene, Src family tyrosine kinase",79.7905879801332,-0.9274315664895199,0.5257935806583781,0.3477375943038911,-2.6670442934019634,0.007652158609507209,0.26851522441437037
ENSG00000000971.16,CFH,complement factor H,72343.60750811771,0.049825407765053426,1.0351396456119741,0.14689905437478742,0.33918126959437433,0.7344731785295578,1
ENSG00000001036.14,FUCA2,alpha-L-fucosidase 2,1255.333994030809,-0.18762782373761078,0.8780482810800319,0.18381626517104063,-1.0207356980244566,0.30737967664191945,0.9557300817614616
ENSG00000001084.13,GCLC,glutamate-cysteine ligase catalytic subunit,3979.9750491124278,0.043531932380669956,1.0306338859450996,0.20896784656170786,0.2083188064428613,0.8349800483313862,1
ENSG00000001167.14,NFYA,nuclear transcription factor Y subunit alpha,332.32100007197437,0.06223927309782964,1.0440850761108005,0.1736055403170663,0.3585097168221607,0.7199618975316202,1
ENSG00000001460.18,STPG1,sperm tail PG-rich repeat containing 1,30.42039398893036,-0.43761902623048887,0.738352154413419,0.5292704692565384,-0.8268343912049514,0.40833093430915,1
ENSG00000001461.17,NIPAL3,NIPA like domain containing 3,294.6047048585004,0.008365888211926227,1.0058156373658196,0.23112340457247071,0.03619662936084446,0.971125573610398,1
ENSG00000001497.18,LAS1L,LAS1 like ribosome biogenesis factor,518.2246995053324,0.004332746787262983,1.0030077454364987,0.16902486342987452,0.02563378368922963,0.9795494394300199,1
ENSG00000001561.7,ENPP4,ectonucleotide pyrophosphatase/phosphodiesterase 4,321.9978392684459,-0.16388089022202668,0.8926206637345176,0.23515572182270053,-0.6969036898263837,0.48586306846225324,1
ENSG00000001617.12,SEMA3F,semaphorin 3F,101.13303179778629,-0.25156588065605634,0.8399842133924255,0.35272674238884055,-0.7132033113007745,0.47571995756121804,1
ENSG00000001626.16,CFTR,CF transmembrane conductance regulator,87.32273903854814,-2.348479031369853,0.1963529214662507,0.6835029734238439,-3.435945595972629,5.904895357654169e-4,0.06308396540427204
ENSG00000001629.10,ANKIB1,ankyrin repeat and IBR domain containing 1,813.8442946111128,0.10438009593514071,1.0750323661834547,0.27153453443954584,0.38440817905753266,0.7006759393557559,1
ENSG00000001630.17,CYP51A1,cytochrome P450 family 51 subfamily A member 1,7240.709734431237,-0.5338481165856294,0.6907099365014575,0.2684406781896651,-1.9887005210456303,0.04673426845602842,0.5493671233714581
ENSG00000001631.16,KRIT1,KRIT1 ankyrin repeat containing,437.6383190107778,0.006209273016285016,1.0043132153366263,0.28855167610678306,0.0215187556699105,0.98283184206569,1
ENSG00000002016.18,RAD52,"RAD52 homolog, DNA repair protein",109.64975206680882,0.33730516727110016,1.2633944741529128,0.39849630791818247,0.8464448994100949,0.3973045999201369,1
ENSG00000002330.14,BAD,BCL2 associated agonist of cell death,797.4780921322653,-0.05844479242009174,0.9602987518545469,0.16710718196563584,-0.3497443481041432,0.7265305680428317,1
ENSG00000002549.13,LAP3,leucine aminopeptidase 3,4277.300261678062,-0.08765081768060455,0.9410538476756877,0.1614024664351386,-0.5430574861495566,0.5870902228828616,1
ENSG00000002586.20,CD99,CD99 molecule (Xg blood group),2382.53620972872,0.08695768072936966,1.0621280301237686,0.14376181467847943,0.6048732824070763,0.5452631967398773,1
ENSG00000002587.10,HS3ST1,heparan sulfate-glucosamine 3-sulfotransferase 1,13.402249938826381,-0.16252447523378366,0.8934602960673961,1.095118435173344,NA,NA,NA
ENSG00000002726.21,AOC1,amine oxidase copper containing 1,221.78107403715785,1.6792573015716346,3.2026303739638196,1.767446504764323,0.9501036082535081,0.34205960997759366,0.9779413800146499
ENSG00000002745.13,WNT16,Wnt family member 16,3.2228951757742013,13.9941356127796,16317.536124738548,5.414181454589277,NA,NA,NA
ENSG00000002746.15,HECW1,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1",8.873073127062717,-4.7754186086726,0.03651369276139303,2.017898950068463,NA,NA,NA
ENSG00000002822.16,MAD1L1,mitotic arrest deficient 1 like 1,455.53564012533815,0.4163653122882689,1.3345610580187817,0.31669531491781866,1.3147188880780072,0.1886043962417922,0.8478199439263393
ENSG00000002834.18,LASP1,LIM and SH3 protein 1,2649.78124501945,-0.15445783409266703,0.8984699551491477,0.2170932024133652,-0.7114816695115367,0.4767858058942142,1
ENSG00000002919.15,SNX11,sorting nexin 11,337.9680056114788,0.003898625536682748,1.0027059758602033,0.2298019194019462,0.01696515654363908,0.9864644128196448,1
ENSG00000002933.9,TMEM176A,transmembrane protein 176A,12098.433319476802,0.16046074573461963,1.117644017024092,0.28767693247225123,0.557781064875952,0.5769938941539663,1
